match_type,race_id,platform_a,platform_b,question_a,question_b,market_id_a,market_id_b,implied_prob_a,implied_prob_b,settle_date,category,url_a,url_b,volume_a,volume_b,fuzzy_score
fuzzy,,kalshi,polymarket,Montreal vs Cincinnati: BTTS — Both Teams To Score,CF Montréal vs. FC Cincinnati: Both Teams to Score,KXMLSBTTS-26SEP26MTLCIN-BTTS,9043733845282385887109560192833664772493044970125957688227100584838646837653,0.69,0.675,2026-09-28,Sports,https://kalshi.com/markets/kxmlsbtts/kxmlsbtts-26sep26mtlcin,https://polymarket.com/event/mls-mim-fcc-2026-09-26-more-markets/mls-mim-fcc-2026-09-26-btts,290.91,424.089157,88.4
fuzzy,,kalshi,polymarket,Charlotte vs Chicago Fire: BTTS — Both Teams To Score,Charlotte FC vs. Chicago Fire FC: Both Teams to Score,KXMLSBTTS-26SEP26CLTCHI-BTTS,13024367002386946824671936639246634454761728555820071524165904534723688481602,0.68,0.68,2026-09-28,Sports,https://kalshi.com/markets/kxmlsbtts/kxmlsbtts-26sep26cltchi,https://polymarket.com/event/mls-clt-chi-2026-09-26-more-markets/mls-clt-chi-2026-09-26-btts,2168.95,359.282427,89.1
fuzzy,,kalshi,polymarket,Atlanta vs New York City: BTTS — Both Teams To Score,Atlanta United FC vs. New York City FC: Both Teams to Score,KXMLSBTTS-26SEP26ATLNYC-BTTS,70074277925084330197572485856162019355243111966361678763116184550893964540203,0.63,0.615,2026-09-28,Sports,https://kalshi.com/markets/kxmlsbtts/kxmlsbtts-26sep26atlnyc,https://polymarket.com/event/mls-atl-nyc-2026-09-26-more-markets/mls-atl-nyc-2026-09-26-btts,787.15,27.0,83.0
fuzzy,,kalshi,polymarket,Philadelphia vs Orlando: First Half BTTS — 1st Half: Both Teams To Score,Philadelphia Union vs. Orlando City SC: Both Teams to Score in First Half,KXMLS1HBTTS-26SEP26PHIORL-BTTS,114085293956001425757769230753718943846068273961433339066645703224126460596959,0.3,0.3,2026-09-28,Sports,https://kalshi.com/markets/kxmls1hbtts/kxmls1hbtts-26sep26phiorl,https://polymarket.com/event/mls-phi-orl-2026-09-26-more-markets/mls-phi-orl-2026-09-26-btts-first-half,0.0,,82.0
fuzzy,,kalshi,polymarket,Montreal vs Cincinnati: First Half BTTS — 1st Half: Both Teams To Score,CF Montréal vs. FC Cincinnati: Both Teams to Score in First Half,KXMLS1HBTTS-26SEP26MTLCIN-BTTS,40014894874478363911608013032456509262255341437587357297461780601075234638648,0.27,0.275,2026-09-28,Sports,https://kalshi.com/markets/kxmls1hbtts/kxmls1hbtts-26sep26mtlcin,https://polymarket.com/event/mls-mim-fcc-2026-09-26-more-markets/mls-mim-fcc-2026-09-26-btts-first-half,0.0,,83.7
fuzzy,,kalshi,polymarket,Charlotte vs Chicago Fire: First Half BTTS — 1st Half: Both Teams To Score,Charlotte FC vs. Chicago Fire FC: Both Teams to Score in First Half,KXMLS1HBTTS-26SEP26CLTCHI-BTTS,75921281453193048870455691018739773971817903853828383755534409464648049136259,0.28,0.285,2026-09-28,Sports,https://kalshi.com/markets/kxmls1hbtts/kxmls1hbtts-26sep26cltchi,https://polymarket.com/event/mls-clt-chi-2026-09-26-more-markets/mls-clt-chi-2026-09-26-btts-first-half,68.0,,84.4
fuzzy,,kalshi,polymarket,Atlanta vs New York City: First Half BTTS — 1st Half: Both Teams To Score,Atlanta United FC vs. New York City FC: Both Teams to Score in First Half,KXMLS1HBTTS-26SEP26ATLNYC-BTTS,12943377283044699212415666006490787699353080816066590468093813649067350082250,0.23,0.23,2026-09-28,Sports,https://kalshi.com/markets/kxmls1hbtts/kxmls1hbtts-26sep26atlnyc,https://polymarket.com/event/mls-atl-nyc-2026-09-26-more-markets/mls-atl-nyc-2026-09-26-btts-first-half,0.0,,80.0
fuzzy,,kalshi,polymarket,Guadalajara vs Queretaro: BTTS — Both Teams To Score,CD Guadalajara vs. Querétaro FC: Both Teams to Score,KXLIGAMXBTTS-26SEP26CDGQUE-BTTS,4023398936340006454477467921345631358160844732735834376076871437020453499495,0.55,0.545,2026-09-28,Sports,https://kalshi.com/markets/kxligamxbtts/kxligamxbtts-26sep26cdgque,https://polymarket.com/event/mex-gua-que-2026-09-26-more-markets/mex-gua-que-2026-09-26-btts,2447.6,52.424167,88.9
fuzzy,,kalshi,polymarket,Guadalajara vs Queretaro: First Half BTTS — 1st Half: Both Teams To Score,CD Guadalajara vs. Querétaro FC: Both Teams to Score in First Half,KXLIGAMX1HBTTS-26SEP26CDGQUE-BTTS,22976235917043000884121203320373289972178797229459173599490964775093134578910,0.2,0.195,2026-09-28,Sports,https://kalshi.com/markets/kxligamx1hbtts/kxligamx1hbtts-26sep26cdgque,https://polymarket.com/event/mex-gua-que-2026-09-26-more-markets/mex-gua-que-2026-09-26-btts-first-half,271.45,,84.2
fuzzy,,kalshi,polymarket,Indy Eleven vs Miami: BTTS — Both Teams To Score,Indy Eleven vs. Miami FC: Both Teams to Score,KXUSLBTTS-26SEP26IELMIA-BTTS,62390832694761778418813441319519311086561576890977201599913317459791301450912,0.62,0.63,2026-09-28,Sports,https://kalshi.com/markets/kxuslbtts/kxuslbtts-26sep26ielmia,https://polymarket.com/event/uslc-iel-mia-2026-09-26-more-markets/uslc-iel-mia-2026-09-26-btts,50.42,5.263158,90.9
fuzzy,,kalshi,polymarket,Detroit City FC vs Colorado Springs Sw.: BTTS — Both Teams To Score,Detroit City FC vs. Colorado Springs Switchbacks FC: Both Teams to Score,KXUSLBTTS-26SEP26DETCSS-BTTS,102040610164695298135918129448724223867427229529972104033963580941042700901729,0.53,0.53,2026-09-28,Sports,https://kalshi.com/markets/kxuslbtts/kxuslbtts-26sep26detcss,https://polymarket.com/event/uslc-det-css-2026-09-26-more-markets/uslc-det-css-2026-09-26-btts,41.22,96.25,87.2
fuzzy,,kalshi,polymarket,Charleston vs Rhode Island FC: BTTS — Both Teams To Score,Charleston Battery vs. Rhode Island FC: Both Teams to Score,KXUSLBTTS-26SEP26CHARHO-BTTS,11473562415680865248525267805934565036457915733854056611985257741022812553287,0.57,0.525,2026-09-28,Sports,https://kalshi.com/markets/kxuslbtts/kxuslbtts-26sep26charho,https://polymarket.com/event/uslc-cha-rho-2026-09-26-more-markets/uslc-cha-rho-2026-09-26-btts,153.52,131.976191,90.1
fuzzy,,kalshi,polymarket,Indy Eleven vs Miami: First Half BTTS — 1st Half: Both Teams To Score,Indy Eleven vs. Miami FC: Both Teams to Score in First Half,KXUSL1HBTTS-26SEP26IELMIA-BTTS,26109419948404646325376588556135380616487055288758660842258889882929754359743,0.245,0.245,2026-09-28,Sports,https://kalshi.com/markets/kxusl1hbtts/kxusl1hbtts-26sep26ielmia,https://polymarket.com/event/uslc-iel-mia-2026-09-26-more-markets/uslc-iel-mia-2026-09-26-btts-first-half,0.0,,85.2
fuzzy,,kalshi,polymarket,Detroit City FC vs Colorado Springs Sw.: First Half BTTS — 1st Half: Both Teams To Score,Detroit City FC vs. Colorado Springs Switchbacks FC: Both Teams to Score in First Half,KXUSL1HBTTS-26SEP26DETCSS-BTTS,13856559396593572124013854451065440468651135434395488395003018573102865777965,0.185,0.175,2026-09-28,Sports,https://kalshi.com/markets/kxusl1hbtts/kxusl1hbtts-26sep26detcss,https://polymarket.com/event/uslc-det-css-2026-09-26-more-markets/uslc-det-css-2026-09-26-btts-first-half,0.0,,83.8
